,Thermostat,Smoke_Alarm,Light A,Light B,Door,Person
0,85,OFF,OFF,OFF,OPEN,Home
1,86,OFF,OFF,OFF,OPEN,Home
2,85,OFF,OFF,OFF,OPEN,Home
3,85,OFF,OFF,OFF,OPEN,Home
4,85,OFF,OFF,ON,LOCKED,Away
5,85,OFF,ON,ON,LOCKED,Away
6,84,ON,ON,ON,LOCKED,Away
7,83,OFF,OFF,ON,LOCKED,Home
8,82,OFF,ON,ON,LOCKED,Home
9,83,OFF,ON,ON,LOCKED,Home
10,82,OFF,OFF,ON,LOCKED,Home
11,83,OFF,ON,ON,LOCKED,Home
12,83,OFF,ON,ON,LOCKED,Home
13,83,OFF,OFF,OFF,LOCKED,Home
14,84,OFF,OFF,OFF,LOCKED,Home
15,83,OFF,OFF,OFF,LOCKED,Home
16,82,OFF,OFF,ON,LOCKED,Away
17,82,OFF,ON,ON,LOCKED,Away
18,83,OFF,ON,ON,LOCKED,Away
19,83,OFF,ON,ON,LOCKED,Away
20,82,OFF,OFF,ON,LOCKED,Home
21,82,OFF,ON,ON,LOCKED,Home
22,81,OFF,ON,ON,LOCKED,Home
23,80,OFF,ON,ON,LOCKED,Home
24,81,OFF,OFF,OFF,LOCKED,Home
25,80,OFF,OFF,ON,LOCKED,Away
26,81,OFF,ON,ON,LOCKED,Away
27,82,OFF,OFF,ON,LOCKED,Away
28,83,OFF,ON,ON,LOCKED,Home
29,84,OFF,ON,ON,LOCKED,Home
30,83,OFF,OFF,ON,LOCKED,Away
31,84,OFF,ON,ON,LOCKED,Home
32,85,OFF,ON,ON,LOCKED,Home
33,84,OFF,ON,ON,LOCKED,Home
34,85,OFF,ON,ON,LOCKED,Home
35,86,OFF,OFF,OFF,LOCKED,Home
36,85,OFF,OFF,OFF,LOCKED,Home
37,86,OFF,OFF,OFF,LOCKED,Home
38,86,OFF,OFF,OFF,LOCKED,Home
39,85,OFF,OFF,OFF,LOCKED,Home
40,84,OFF,OFF,ON,LOCKED,Home
41,85,OFF,ON,ON,LOCKED,Home
42,86,OFF,ON,ON,LOCKED,Home
43,87,OFF,OFF,ON,LOCKED,Away
44,88,OFF,ON,ON,LOCKED,Away
45,88,OFF,ON,ON,LOCKED,Away
46,88,OFF,OFF,ON,LOCKED,Home
47,88,ON,ON,ON,OPEN,Home
48,87,ON,OFF,OFF,OPEN,Home
49,86,ON,OFF,OFF,OPEN,Home
50,85,ON,OFF,OFF,OPEN,Home
51,85,ON,OFF,OFF,OPEN,Home
52,86,ON,OFF,OFF,OPEN,Home
53,85,ON,OFF,OFF,OPEN,Home
54,85,ON,OFF,ON,OPEN,Home
55,85,ON,ON,ON,OPEN,Home
56,86,ON,ON,ON,OPEN,Home
57,85,ON,ON,ON,OPEN,Home
58,86,ON,ON,ON,OPEN,Home
59,85,ON,ON,ON,OPEN,Home
60,84,ON,ON,ON,OPEN,Home
61,84,OFF,ON,ON,OPEN,Home
62,85,OFF,OFF,OFF,OPEN,Home
63,85,OFF,OFF,OFF,OPEN,Home
64,84,OFF,OFF,OFF,OPEN,Home
65,83,OFF,OFF,OFF,OPEN,Home
66,84,OFF,OFF,OFF,OPEN,Home
67,83,OFF,OFF,ON,OPEN,Home
68,82,OFF,ON,ON,OPEN,Home
69,81,OFF,OFF,OFF,OPEN,Home
70,82,OFF,OFF,OFF,OPEN,Home
71,83,OFF,OFF,OFF,OPEN,Home
72,84,OFF,OFF,OFF,OPEN,Home
73,85,OFF,OFF,OFF,OPEN,Home
74,84,OFF,OFF,ON,OPEN,Home
75,84,OFF,ON,ON,OPEN,Home
76,84,OFF,OFF,ON,OPEN,Home
77,83,OFF,ON,ON,OPEN,Home
78,83,OFF,ON,ON,OPEN,Home
79,83,OFF,OFF,ON,LOCKED,Away
80,83,OFF,ON,ON,LOCKED,Away
81,82,OFF,ON,ON,LOCKED,Away
82,81,OFF,ON,ON,LOCKED,Away
83,80,OFF,ON,ON,LOCKED,Away
84,79,OFF,ON,ON,LOCKED,Away
85,80,OFF,ON,ON,LOCKED,Away
86,79,OFF,ON,ON,LOCKED,Away
87,79,OFF,ON,ON,LOCKED,Away
88,78,OFF,OFF,ON,LOCKED,Away
89,78,OFF,ON,ON,LOCKED,Away
90,77,OFF,ON,ON,LOCKED,Away
91,78,OFF,ON,ON,LOCKED,Away
92,77,OFF,ON,ON,LOCKED,Away
93,77,OFF,OFF,ON,LOCKED,Away
94,76,OFF,ON,ON,LOCKED,Away
95,76,OFF,ON,ON,LOCKED,Away
96,75,OFF,OFF,ON,LOCKED,Away
97,74,OFF,ON,ON,LOCKED,Away
98,74,OFF,ON,ON,LOCKED,Away
99,73,OFF,ON,ON,LOCKED,Away
100,72,OFF,ON,ON,LOCKED,Away
101,72,OFF,OFF,ON,LOCKED,Home
102,73,OFF,ON,ON,LOCKED,Home
103,72,OFF,ON,ON,LOCKED,Home
104,72,OFF,ON,ON,LOCKED,Home
105,73,OFF,ON,ON,LOCKED,Home
106,72,OFF,ON,ON,LOCKED,Home
107,71,OFF,OFF,ON,LOCKED,Away
108,72,OFF,ON,ON,LOCKED,Away
109,71,OFF,ON,ON,LOCKED,Away
110,72,OFF,ON,ON,LOCKED,Away
111,71,OFF,OFF,ON,LOCKED,Away
112,71,OFF,ON,ON,LOCKED,Away
113,71,OFF,ON,ON,LOCKED,Away
114,72,OFF,ON,ON,LOCKED,Away
115,71,OFF,ON,ON,LOCKED,Away
116,72,OFF,ON,ON,LOCKED,Away
117,72,OFF,OFF,ON,LOCKED,Home
118,71,OFF,ON,ON,LOCKED,Home
119,70,OFF,OFF,OFF,LOCKED,Home
120,69,OFF,OFF,OFF,LOCKED,Home
121,69,OFF,OFF,OFF,LOCKED,Home
122,68,OFF,OFF,OFF,LOCKED,Home
123,67,OFF,OFF,OFF,LOCKED,Home
124,67,OFF,OFF,ON,LOCKED,Home
125,66,OFF,ON,ON,LOCKED,Home
126,66,OFF,ON,ON,LOCKED,Home
127,65,OFF,OFF,ON,LOCKED,Away
128,66,OFF,ON,ON,LOCKED,Away
129,66,OFF,ON,ON,LOCKED,Away
130,66,OFF,OFF,ON,LOCKED,Away
131,67,OFF,ON,ON,LOCKED,Away
132,68,OFF,OFF,ON,LOCKED,Away
133,68,OFF,ON,ON,LOCKED,Away
134,67,OFF,ON,ON,LOCKED,Away
135,66,OFF,OFF,ON,LOCKED,Away
136,67,OFF,ON,ON,LOCKED,Away
137,67,OFF,ON,ON,LOCKED,Away
138,68,OFF,ON,ON,LOCKED,Away
139,69,OFF,ON,ON,LOCKED,Away
140,68,OFF,OFF,ON,LOCKED,Away
141,67,OFF,ON,ON,LOCKED,Home
142,68,OFF,ON,ON,LOCKED,Home
143,67,OFF,ON,ON,LOCKED,Home
144,66,OFF,OFF,OFF,LOCKED,Home
145,66,OFF,OFF,ON,LOCKED,Away
146,67,OFF,ON,ON,LOCKED,Away
147,68,OFF,OFF,ON,LOCKED,Home
148,67,OFF,ON,ON,LOCKED,Home
149,68,OFF,ON,ON,LOCKED,Home
150,68,OFF,ON,ON,LOCKED,Home
151,68,OFF,ON,ON,LOCKED,Home
152,67,OFF,ON,ON,LOCKED,Home
153,67,OFF,OFF,ON,LOCKED,Away
154,68,OFF,ON,ON,LOCKED,Away
155,68,OFF,ON,ON,LOCKED,Away
156,68,OFF,ON,ON,LOCKED,Away
157,67,OFF,ON,ON,LOCKED,Away
158,67,OFF,ON,ON,LOCKED,Away
159,67,OFF,ON,ON,LOCKED,Away
160,67,OFF,ON,ON,LOCKED,Away
161,67,OFF,ON,ON,LOCKED,Away
162,66,OFF,ON,ON,LOCKED,Away
163,66,OFF,OFF,ON,LOCKED,Away
164,65,OFF,ON,ON,LOCKED,Away
165,64,OFF,OFF,ON,LOCKED,Away
166,63,OFF,ON,ON,LOCKED,Away
167,62,OFF,OFF,ON,LOCKED,Away
168,63,OFF,ON,ON,LOCKED,Away
169,62,OFF,ON,ON,LOCKED,Away
170,63,OFF,ON,ON,LOCKED,Away
171,62,OFF,ON,ON,LOCKED,Away
172,61,OFF,OFF,ON,LOCKED,Away
173,60,OFF,ON,ON,LOCKED,Away
174,60,OFF,ON,ON,LOCKED,Away
175,61,OFF,OFF,ON,LOCKED,Away
176,61,OFF,ON,ON,LOCKED,Away
177,62,OFF,ON,ON,LOCKED,Away
178,62,OFF,OFF,ON,LOCKED,Away
179,63,OFF,ON,ON,LOCKED,Away
180,64,OFF,ON,ON,LOCKED,Away
181,65,OFF,ON,ON,LOCKED,Away
182,65,OFF,ON,ON,LOCKED,Away
183,65,OFF,ON,ON,LOCKED,Away
184,65,OFF,OFF,ON,LOCKED,Away
185,64,OFF,ON,ON,LOCKED,Away
186,63,OFF,ON,ON,LOCKED,Away
187,62,OFF,ON,ON,LOCKED,Away
188,61,OFF,ON,ON,LOCKED,Away
189,61,OFF,OFF,ON,LOCKED,Away
190,60,OFF,ON,ON,LOCKED,Home
191,59,OFF,OFF,OFF,LOCKED,Home
192,59,OFF,OFF,OFF,LOCKED,Home
193,60,OFF,OFF,OFF,LOCKED,Home
194,59,OFF,OFF,ON,LOCKED,Away
195,60,OFF,ON,ON,LOCKED,Home
196,61,OFF,ON,ON,LOCKED,Home
197,60,OFF,ON,ON,LOCKED,Home
198,61,OFF,ON,ON,LOCKED,Home
199,61,OFF,ON,ON,LOCKED,Home
200,61,OFF,OFF,OFF,LOCKED,Home
201,61,OFF,OFF,OFF,LOCKED,Home
202,62,OFF,OFF,OFF,LOCKED,Home
203,63,OFF,OFF,OFF,LOCKED,Home
204,63,OFF,OFF,ON,LOCKED,Away
205,64,OFF,ON,ON,LOCKED,Away
206,65,OFF,ON,ON,LOCKED,Away
207,65,OFF,ON,ON,LOCKED,Away
208,66,OFF,ON,ON,LOCKED,Away
209,65,OFF,ON,ON,LOCKED,Away
210,64,OFF,ON,ON,LOCKED,Away
211,63,OFF,OFF,ON,LOCKED,Home
212,62,OFF,ON,ON,LOCKED,Home
213,61,OFF,OFF,OFF,LOCKED,Home
214,60,OFF,OFF,OFF,LOCKED,Home
215,59,OFF,OFF,OFF,LOCKED,Home
216,58,OFF,OFF,OFF,LOCKED,Home
217,58,OFF,OFF,OFF,LOCKED,Home
218,59,OFF,OFF,ON,LOCKED,Home
219,58,OFF,ON,OFF,LOCKED,Home
220,57,OFF,ON,OFF,LOCKED,Home
221,57,OFF,OFF,ON,LOCKED,Away
222,56,OFF,ON,ON,LOCKED,Away
223,56,OFF,OFF,ON,LOCKED,Home
224,56,OFF,ON,ON,LOCKED,Home
225,56,OFF,OFF,OFF,LOCKED,Home
226,55,OFF,OFF,OFF,LOCKED,Home
227,55,OFF,OFF,OFF,LOCKED,Home
228,56,OFF,OFF,OFF,LOCKED,Home
229,55,OFF,OFF,OFF,LOCKED,Home
230,54,OFF,OFF,ON,LOCKED,Home
231,55,OFF,ON,ON,LOCKED,Home
232,54,OFF,OFF,ON,LOCKED,Home
233,55,OFF,ON,OFF,LOCKED,Home
234,55,OFF,ON,OFF,LOCKED,Home
235,56,OFF,ON,OFF,LOCKED,Home
236,55,OFF,ON,OFF,LOCKED,Home
237,54,OFF,OFF,OFF,LOCKED,Home
238,54,OFF,OFF,OFF,LOCKED,Home
239,53,OFF,OFF,OFF,LOCKED,Home
240,54,OFF,OFF,OFF,LOCKED,Home
241,55,OFF,OFF,OFF,LOCKED,Home
242,56,OFF,OFF,ON,LOCKED,Home
243,55,OFF,ON,ON,LOCKED,Home
244,55,OFF,OFF,OFF,LOCKED,Home
245,55,OFF,OFF,OFF,LOCKED,Home
246,56,OFF,OFF,OFF,LOCKED,Home
247,55,OFF,OFF,OFF,LOCKED,Home
248,56,OFF,OFF,OFF,LOCKED,Home
249,57,OFF,OFF,ON,LOCKED,Home
250,58,OFF,ON,ON,LOCKED,Home
251,58,OFF,ON,ON,LOCKED,Home
252,58,OFF,ON,ON,LOCKED,Home
253,59,OFF,OFF,OFF,LOCKED,Home
254,59,OFF,OFF,OFF,LOCKED,Home
255,59,OFF,OFF,OFF,LOCKED,Home
256,58,OFF,OFF,OFF,LOCKED,Home
257,58,OFF,OFF,OFF,LOCKED,Home
258,57,OFF,OFF,ON,LOCKED,Home
259,57,OFF,ON,ON,LOCKED,Home
260,58,OFF,ON,ON,LOCKED,Home
261,57,OFF,ON,ON,LOCKED,Home
262,56,OFF,ON,ON,LOCKED,Home
263,55,OFF,OFF,ON,LOCKED,Home
264,54,OFF,ON,ON,LOCKED,Home
265,54,OFF,ON,ON,LOCKED,Home
266,54,OFF,OFF,ON,LOCKED,Away
267,53,OFF,ON,ON,LOCKED,Away
268,53,OFF,ON,ON,LOCKED,Away
269,54,OFF,ON,ON,LOCKED,Away
270,53,OFF,ON,ON,LOCKED,Away
271,53,OFF,ON,ON,LOCKED,Away
272,52,OFF,ON,ON,LOCKED,Away
273,53,OFF,OFF,ON,LOCKED,Home
274,53,OFF,ON,ON,LOCKED,Home
275,54,OFF,ON,ON,LOCKED,Home
276,54,OFF,OFF,ON,LOCKED,Away
277,53,OFF,ON,ON,LOCKED,Away
278,54,OFF,ON,ON,LOCKED,Away
279,55,OFF,ON,ON,LOCKED,Away
280,55,OFF,ON,ON,LOCKED,Away
281,54,OFF,ON,ON,LOCKED,Away
282,54,OFF,OFF,ON,LOCKED,Home
283,55,OFF,ON,ON,LOCKED,Away
284,54,OFF,ON,ON,LOCKED,Away
285,53,OFF,ON,ON,LOCKED,Away
286,52,OFF,ON,ON,LOCKED,Away
287,52,OFF,OFF,ON,LOCKED,Away
288,51,OFF,ON,ON,LOCKED,Away
289,52,OFF,OFF,ON,LOCKED,Away
290,51,OFF,ON,ON,LOCKED,Away
291,50,OFF,ON,ON,LOCKED,Away
292,50,OFF,ON,ON,LOCKED,Away
293,51,OFF,ON,ON,LOCKED,Away
294,52,OFF,OFF,ON,LOCKED,Away
295,53,OFF,ON,ON,LOCKED,Away
296,53,OFF,ON,ON,LOCKED,Away
297,52,OFF,OFF,ON,LOCKED,Away
298,53,OFF,ON,ON,LOCKED,Away
299,54,OFF,ON,ON,LOCKED,Away
300,54,OFF,ON,ON,LOCKED,Away
301,53,OFF,OFF,ON,LOCKED,Away
302,54,OFF,ON,ON,LOCKED,Away
303,54,OFF,ON,ON,LOCKED,Away
304,55,OFF,ON,ON,LOCKED,Away
305,55,OFF,ON,ON,LOCKED,Away
306,54,OFF,ON,ON,LOCKED,Away
307,54,OFF,OFF,ON,LOCKED,Away
308,55,OFF,ON,ON,LOCKED,Home
309,55,OFF,ON,ON,LOCKED,Home
310,56,OFF,ON,ON,LOCKED,Home
311,56,OFF,OFF,OFF,LOCKED,Home
312,56,OFF,OFF,OFF,LOCKED,Home
313,56,OFF,OFF,OFF,LOCKED,Home
314,55,OFF,OFF,OFF,LOCKED,Home
315,54,OFF,OFF,OFF,LOCKED,Home
316,55,OFF,OFF,ON,LOCKED,Home
317,56,OFF,ON,OFF,LOCKED,Home
318,56,OFF,OFF,OFF,LOCKED,Home
319,55,OFF,OFF,OFF,LOCKED,Home
320,54,OFF,OFF,ON,LOCKED,Away
321,54,OFF,ON,ON,LOCKED,Away
322,53,OFF,ON,ON,LOCKED,Away
323,52,OFF,ON,ON,LOCKED,Away
324,51,OFF,ON,ON,LOCKED,Away
325,50,OFF,ON,ON,LOCKED,Away
326,51,OFF,OFF,ON,LOCKED,Away
327,52,OFF,ON,ON,LOCKED,Away
328,52,OFF,OFF,ON,LOCKED,Away
329,52,OFF,ON,ON,LOCKED,Away
330,51,OFF,ON,ON,LOCKED,Away
331,52,OFF,OFF,ON,LOCKED,Away
332,53,OFF,ON,ON,LOCKED,Away
333,54,OFF,OFF,ON,LOCKED,Away
334,55,OFF,ON,ON,LOCKED,Away
335,55,OFF,OFF,ON,LOCKED,Away
336,55,OFF,ON,ON,LOCKED,Away
337,54,OFF,ON,ON,LOCKED,Away
338,53,OFF,ON,ON,LOCKED,Away
339,53,OFF,OFF,ON,LOCKED,Away
340,52,OFF,ON,ON,LOCKED,Home
341,51,OFF,OFF,ON,LOCKED,Away
342,51,OFF,ON,ON,LOCKED,Away
343,50,OFF,ON,ON,LOCKED,Away
344,51,OFF,ON,ON,LOCKED,Away
345,51,OFF,OFF,ON,LOCKED,Away
346,51,OFF,ON,ON,LOCKED,Away
347,50,OFF,OFF,ON,LOCKED,Away
348,49,OFF,ON,ON,LOCKED,Home
349,49,OFF,ON,ON,LOCKED,Home
350,50,OFF,ON,ON,LOCKED,Home
351,51,OFF,ON,ON,LOCKED,Home
352,50,OFF,ON,ON,LOCKED,Home
353,49,OFF,ON,ON,LOCKED,Home
354,48,OFF,ON,ON,LOCKED,Home
355,47,OFF,ON,ON,LOCKED,Home
356,47,OFF,ON,ON,LOCKED,Home
357,48,OFF,OFF,OFF,LOCKED,Home
358,48,OFF,OFF,OFF,LOCKED,Home
359,47,OFF,OFF,ON,LOCKED,Away
360,46,OFF,ON,ON,LOCKED,Away
361,45,OFF,ON,ON,LOCKED,Away
362,46,OFF,ON,ON,LOCKED,Away
363,46,OFF,ON,ON,LOCKED,Away
364,46,OFF,ON,ON,LOCKED,Away
365,45,OFF,ON,ON,LOCKED,Away
366,44,OFF,ON,ON,LOCKED,Away
367,45,OFF,ON,ON,LOCKED,Away
368,46,OFF,ON,ON,LOCKED,Away
369,47,OFF,ON,ON,LOCKED,Away
370,47,OFF,ON,ON,LOCKED,Away
371,48,OFF,ON,ON,LOCKED,Away
372,47,OFF,OFF,ON,LOCKED,Away
373,47,OFF,ON,ON,LOCKED,Home
374,48,OFF,ON,ON,LOCKED,Home
375,47,OFF,OFF,ON,LOCKED,Away
376,48,OFF,ON,ON,LOCKED,Away
377,48,OFF,OFF,ON,LOCKED,Away
378,49,OFF,ON,ON,LOCKED,Away
379,49,OFF,OFF,ON,LOCKED,Home
380,48,OFF,ON,ON,LOCKED,Away
381,49,OFF,ON,ON,LOCKED,Away
382,49,OFF,ON,ON,LOCKED,Away
383,48,OFF,ON,ON,LOCKED,Away
384,48,OFF,OFF,ON,LOCKED,Away
385,49,OFF,ON,ON,LOCKED,Away
386,48,OFF,OFF,ON,LOCKED,Away
387,47,OFF,ON,ON,LOCKED,Away
388,46,OFF,OFF,ON,LOCKED,Away
389,47,OFF,ON,ON,LOCKED,Away
390,48,OFF,ON,ON,LOCKED,Away
391,47,OFF,ON,ON,LOCKED,Away
