,Thermostat,Smoke_Alarm,Light A,Light B,Door,Person
0,85,OFF,OFF,OFF,OPEN,Home
1,85,OFF,OFF,OFF,OPEN,Home
2,84,OFF,OFF,ON,LOCKED,Away
3,83,OFF,ON,ON,LOCKED,Away
4,82,OFF,ON,ON,LOCKED,Away
5,83,OFF,ON,ON,LOCKED,Away
6,82,OFF,ON,ON,LOCKED,Away
7,83,OFF,ON,ON,LOCKED,Away
8,83,OFF,OFF,ON,LOCKED,Home
9,84,OFF,ON,OFF,LOCKED,Home
10,84,OFF,OFF,ON,LOCKED,Away
11,85,OFF,ON,ON,LOCKED,Away
12,84,OFF,OFF,ON,LOCKED,Away
13,85,OFF,ON,ON,LOCKED,Away
14,86,OFF,ON,ON,LOCKED,Away
15,87,OFF,OFF,ON,LOCKED,Away
16,86,OFF,ON,ON,LOCKED,Away
17,85,OFF,ON,ON,LOCKED,Away
18,85,OFF,ON,ON,LOCKED,Away
19,86,ON,OFF,ON,LOCKED,Away
20,85,ON,ON,ON,LOCKED,Away
21,85,ON,OFF,ON,LOCKED,Home
22,84,ON,ON,OFF,LOCKED,Home
23,83,OFF,OFF,OFF,LOCKED,Home
24,83,OFF,OFF,OFF,LOCKED,Home
25,82,OFF,OFF,OFF,LOCKED,Home
26,83,OFF,OFF,OFF,LOCKED,Home
27,84,OFF,OFF,OFF,LOCKED,Home
28,84,OFF,OFF,ON,LOCKED,Home
29,84,OFF,ON,ON,LOCKED,Home
30,85,OFF,ON,ON,LOCKED,Home
31,85,OFF,OFF,ON,LOCKED,Home
32,84,OFF,ON,ON,LOCKED,Away
33,84,OFF,ON,ON,LOCKED,Away
34,83,OFF,ON,ON,LOCKED,Away
35,84,OFF,ON,ON,LOCKED,Away
36,83,OFF,OFF,ON,LOCKED,Away
37,83,OFF,ON,ON,LOCKED,Away
38,83,OFF,ON,ON,LOCKED,Away
39,82,OFF,OFF,ON,LOCKED,Home
40,81,OFF,ON,OFF,LOCKED,Home
41,80,OFF,OFF,OFF,LOCKED,Home
42,79,OFF,OFF,OFF,LOCKED,Home
43,80,OFF,OFF,OFF,LOCKED,Home
