,Thermostat,LightSensor,LightA,LightB,AC,Window
0,85,7,OFF,OFF,OFF,Open
1,84,8,OFF,OFF,OFF,Open
2,83,9,OFF,OFF,OFF,Open
3,82,10,OFF,OFF,OFF,Open
4,81,8,OFF,OFF,OFF,Open
5,80,9,OFF,OFF,OFF,Open
6,79,10,OFF,OFF,ON,Open
7,78,8,OFF,OFF,ON,Open
8,77,7,OFF,OFF,ON,Closed
9,77,8,OFF,OFF,ON,Closed
10,78,9,OFF,OFF,ON,Closed
11,78,9,OFF,OFF,ON,Closed
12,79,10,OFF,OFF,ON,Closed
13,79,9,OFF,OFF,ON,Closed
14,80,10,OFF,OFF,ON,Closed
15,79,8,OFF,OFF,ON,Closed
16,80,9,OFF,OFF,ON,Closed
17,81,9,OFF,OFF,ON,Closed
18,80,10,OFF,OFF,ON,Closed
19,81,8,OFF,OFF,ON,Closed
20,82,9,OFF,OFF,ON,Closed
21,82,8,OFF,OFF,ON,Closed
22,81,9,ON,OFF,OFF,Closed
23,82,9,OFF,OFF,ON,Open
24,81,8,OFF,OFF,ON,Open
25,82,8,OFF,OFF,ON,Closed
26,83,7,OFF,OFF,ON,Closed
27,84,7,OFF,OFF,ON,Closed
28,84,8,OFF,OFF,ON,Closed
29,84,8,OFF,OFF,ON,Closed
30,84,8,OFF,OFF,ON,Closed
31,84,8,OFF,OFF,ON,Closed
32,85,7,OFF,OFF,ON,Closed
33,85,7,OFF,OFF,ON,Closed
34,86,6,OFF,OFF,ON,Closed
35,85,6,OFF,OFF,ON,Closed
36,85,5,OFF,OFF,ON,Closed
37,84,5,OFF,OFF,ON,Closed
38,83,6,OFF,OFF,ON,Closed
39,84,7,OFF,OFF,ON,Closed
40,83,6,OFF,OFF,ON,Closed
41,82,5,OFF,OFF,ON,Closed
42,83,5,OFF,OFF,ON,Closed
43,82,4,OFF,OFF,ON,Closed
44,81,5,OFF,OFF,ON,Closed
45,82,6,OFF,OFF,ON,Closed
46,81,7,OFF,OFF,ON,Closed
47,80,8,OFF,OFF,ON,Closed
48,81,7,OFF,OFF,ON,Closed
49,82,8,OFF,OFF,ON,Closed
50,81,8,OFF,OFF,ON,Closed
51,81,9,OFF,OFF,ON,Closed
52,80,10,OFF,OFF,ON,Closed
53,79,9,OFF,OFF,ON,Closed
54,80,8,OFF,OFF,ON,Closed
55,80,8,OFF,OFF,ON,Closed
56,81,7,OFF,OFF,ON,Closed
57,80,7,OFF,OFF,ON,Closed
58,81,8,OFF,OFF,ON,Closed
59,82,8,OFF,OFF,ON,Closed
60,82,9,OFF,OFF,ON,Closed
61,82,9,OFF,OFF,ON,Closed
62,82,8,OFF,OFF,ON,Closed
63,83,7,OFF,OFF,ON,Closed
64,83,7,OFF,OFF,ON,Closed
65,84,6,OFF,OFF,ON,Closed
66,84,7,OFF,OFF,ON,Closed
67,85,7,OFF,OFF,ON,Closed
68,86,6,OFF,OFF,ON,Closed
69,87,6,OFF,OFF,ON,Closed
70,88,7,OFF,OFF,ON,Closed
71,88,7,OFF,OFF,ON,Closed
72,88,6,OFF,OFF,ON,Closed
73,87,7,OFF,OFF,ON,Closed
74,88,6,OFF,OFF,ON,Closed
75,89,5,OFF,OFF,ON,Closed
76,88,5,OFF,ON,ON,Closed
77,88,7,OFF,ON,ON,Closed
78,88,6,OFF,ON,ON,Closed
79,89,6,OFF,ON,ON,Closed
80,89,5,OFF,ON,ON,Closed
81,89,4,OFF,ON,ON,Closed
82,90,4,ON,ON,OFF,Closed
83,91,4,ON,ON,OFF,Open
84,92,3,ON,ON,OFF,Open
85,92,3,ON,ON,OFF,Open
86,91,3,ON,ON,OFF,Open
87,91,2,ON,ON,OFF,Open
88,92,4,ON,ON,OFF,Open
89,92,3,ON,ON,OFF,Open
90,91,3,ON,ON,OFF,Open
91,91,3,ON,ON,OFF,Open
92,92,2,ON,ON,OFF,Open
93,91,2,ON,ON,OFF,Open
94,92,2,ON,ON,OFF,Open
95,91,3,ON,ON,OFF,Open
96,92,4,ON,ON,OFF,Open
97,93,3,ON,ON,OFF,Open
