,Thermostat,LightSensor,LightA,LightB,AC,Window
0,84,7,ON,OFF,OFF,Closed
1,84,7,OFF,OFF,OFF,Closed
2,84,7,OFF,OFF,OFF,Closed
3,84,7,OFF,OFF,OFF,Closed
4,84,7,ON,OFF,OFF,Closed
5,84,7,ON,OFF,OFF,Closed
6,84,7,OFF,ON,OFF,Closed
7,84,7,OFF,ON,OFF,Closed
8,84,7,ON,OFF,OFF,Closed
9,84,7,OFF,ON,OFF,Closed
10,84,7,ON,OFF,OFF,Closed
11,84,7,ON,OFF,OFF,Closed
12,84,7,ON,OFF,OFF,Closed
13,84,7,ON,OFF,OFF,Closed
14,84,7,ON,OFF,OFF,Closed
15,84,7,OFF,OFF,OFF,Closed
16,84,7,OFF,OFF,OFF,Closed
17,84,7,ON,OFF,OFF,Closed
18,84,7,ON,OFF,OFF,Closed
19,84,7,ON,OFF,OFF,Closed
20,84,7,ON,OFF,OFF,Closed
21,84,7,OFF,OFF,OFF,Closed
22,84,7,ON,OFF,OFF,Closed
23,84,7,ON,OFF,OFF,Closed
24,84,7,ON,OFF,OFF,Closed
25,84,7,OFF,OFF,OFF,Closed
26,84,7,ON,OFF,OFF,Closed
27,84,7,ON,OFF,OFF,Closed
28,84,7,OFF,OFF,OFF,Closed
29,84,7,OFF,OFF,OFF,Closed
30,84,7,ON,OFF,OFF,Closed
31,84,7,OFF,OFF,OFF,Closed
32,84,7,ON,ON,OFF,Closed
33,84,7,ON,ON,OFF,Closed
34,84,7,ON,ON,OFF,Closed
35,84,7,ON,ON,OFF,Closed
36,84,7,ON,ON,OFF,Closed
37,84,7,ON,ON,OFF,Closed
38,84,7,ON,ON,OFF,Closed
39,84,7,OFF,OFF,OFF,Closed
40,84,7,ON,OFF,OFF,Closed
41,84,7,ON,OFF,OFF,Closed
42,84,7,ON,OFF,OFF,Closed
43,84,7,ON,OFF,OFF,Closed
44,84,7,OFF,OFF,OFF,Closed
45,84,7,OFF,OFF,OFF,Closed
46,84,7,OFF,OFF,OFF,Closed
47,84,7,ON,ON,OFF,Closed
48,84,7,OFF,OFF,OFF,Closed
49,84,7,ON,OFF,OFF,Closed
50,84,7,ON,OFF,OFF,Closed
51,84,7,ON,OFF,OFF,Closed
52,84,7,ON,OFF,OFF,Closed
53,84,7,ON,OFF,OFF,Closed
54,84,7,ON,OFF,OFF,Closed
55,84,7,ON,OFF,OFF,Closed
56,84,7,ON,OFF,OFF,Closed
57,84,7,OFF,OFF,OFF,Closed
58,84,7,OFF,OFF,OFF,Closed
59,84,7,OFF,OFF,OFF,Closed
60,84,7,ON,OFF,OFF,Closed
61,84,7,ON,OFF,OFF,Closed
62,84,7,ON,OFF,OFF,Closed
63,84,7,OFF,OFF,OFF,Closed
64,84,7,OFF,OFF,OFF,Closed
65,84,7,OFF,OFF,OFF,Closed
66,84,7,ON,OFF,OFF,Closed
67,84,7,OFF,OFF,OFF,Closed
68,84,7,OFF,OFF,OFF,Closed
69,84,7,ON,ON,OFF,Closed
70,84,7,ON,ON,OFF,Closed
71,84,7,ON,ON,OFF,Closed
72,84,7,ON,ON,OFF,Closed
73,84,7,ON,ON,OFF,Closed
74,84,7,ON,ON,OFF,Closed
75,84,7,ON,ON,OFF,Closed
76,84,7,ON,ON,OFF,Closed
77,84,7,OFF,OFF,OFF,Closed
78,84,7,ON,ON,OFF,Closed
79,84,7,ON,ON,OFF,Closed
80,84,7,ON,ON,OFF,Closed
81,84,7,ON,ON,OFF,Closed
82,84,7,OFF,OFF,OFF,Closed
83,84,7,OFF,OFF,OFF,Closed
84,84,7,ON,ON,OFF,Closed
85,84,7,OFF,OFF,OFF,Closed
86,84,7,ON,OFF,OFF,Closed
87,84,7,OFF,OFF,OFF,Closed
88,84,7,OFF,OFF,OFF,Closed
89,84,7,OFF,OFF,OFF,Closed
90,84,7,ON,OFF,OFF,Closed
91,84,7,ON,OFF,OFF,Closed
92,84,7,OFF,OFF,OFF,Closed
93,84,7,ON,ON,OFF,Closed
94,84,7,ON,ON,OFF,Closed
95,84,7,OFF,ON,OFF,Closed
96,84,7,ON,ON,OFF,Closed
97,84,7,OFF,OFF,OFF,Closed
98,84,7,OFF,OFF,OFF,Closed
99,84,7,OFF,OFF,OFF,Closed
100,84,7,OFF,OFF,OFF,Closed
101,84,7,OFF,OFF,OFF,Closed
102,84,7,OFF,OFF,OFF,Closed
103,84,7,OFF,OFF,OFF,Closed
104,84,7,OFF,OFF,OFF,Closed
105,84,7,OFF,OFF,OFF,Closed
106,84,7,ON,OFF,OFF,Closed
107,84,7,ON,OFF,OFF,Closed
108,84,7,ON,OFF,OFF,Closed
109,84,7,ON,OFF,OFF,Closed
110,84,7,ON,OFF,OFF,Closed
111,84,7,ON,OFF,OFF,Closed
112,84,7,ON,OFF,OFF,Closed
113,84,7,ON,OFF,OFF,Closed
114,84,7,ON,OFF,OFF,Closed
115,84,7,ON,OFF,OFF,Closed
116,84,7,OFF,ON,OFF,Closed
117,84,7,ON,OFF,OFF,Closed
118,84,7,OFF,ON,OFF,Closed
119,84,7,OFF,ON,OFF,Closed
120,84,7,ON,ON,OFF,Closed
121,84,7,ON,ON,OFF,Closed
122,84,7,OFF,OFF,OFF,Closed
123,84,7,OFF,OFF,OFF,Closed
124,84,7,ON,OFF,OFF,Closed
125,84,7,ON,OFF,OFF,Closed
126,84,7,ON,OFF,OFF,Closed
127,84,7,ON,OFF,OFF,Closed
128,84,7,OFF,OFF,OFF,Closed
129,84,7,OFF,OFF,OFF,Closed
130,84,7,ON,ON,OFF,Closed
