,Thermostat,Smoke_Alarm,Light A,Light B,Door,Person
0,84,OFF,OFF,OFF,OPEN,Home
1,84,OFF,OFF,OFF,OPEN,Home
2,84,OFF,OFF,ON,LOCKED,Away
3,84,OFF,ON,ON,LOCKED,Away
4,84,OFF,ON,ON,LOCKED,Away
5,83,OFF,ON,ON,LOCKED,Away
6,83,OFF,ON,ON,LOCKED,Away
7,83,OFF,ON,ON,LOCKED,Away
8,83,OFF,ON,ON,LOCKED,Away
9,83,OFF,ON,ON,LOCKED,Away
10,83,OFF,ON,ON,LOCKED,Away
11,84,OFF,OFF,ON,LOCKED,Home
12,84,OFF,ON,ON,LOCKED,Home
13,85,OFF,ON,ON,LOCKED,Home
14,84,OFF,ON,ON,LOCKED,Home
15,85,OFF,OFF,ON,LOCKED,Home
16,84,OFF,ON,ON,LOCKED,Home
17,84,OFF,OFF,OFF,LOCKED,Home
18,83,OFF,OFF,OFF,LOCKED,Home
19,84,OFF,OFF,OFF,LOCKED,Home
20,83,OFF,OFF,OFF,LOCKED,Home
21,84,OFF,OFF,OFF,LOCKED,Home
22,83,OFF,OFF,ON,LOCKED,Home
23,82,OFF,ON,ON,LOCKED,Home
24,83,OFF,ON,ON,LOCKED,Home
25,82,OFF,OFF,ON,LOCKED,Home
26,81,OFF,ON,ON,LOCKED,Away
27,80,OFF,ON,ON,LOCKED,Away
28,79,OFF,OFF,ON,LOCKED,Away
29,78,OFF,ON,ON,LOCKED,Away
30,78,OFF,ON,ON,LOCKED,Away
31,77,OFF,ON,ON,LOCKED,Away
32,77,OFF,ON,ON,LOCKED,Away
33,77,OFF,OFF,ON,LOCKED,Away
34,77,OFF,ON,ON,LOCKED,Away
35,78,OFF,ON,ON,LOCKED,Away
36,77,OFF,ON,ON,LOCKED,Away
37,78,OFF,ON,ON,LOCKED,Away
38,77,OFF,ON,ON,LOCKED,Away
39,77,OFF,ON,ON,LOCKED,Away
40,78,OFF,ON,ON,LOCKED,Away
41,79,OFF,ON,ON,LOCKED,Away
42,78,OFF,OFF,ON,LOCKED,Away
43,78,OFF,ON,ON,LOCKED,Away
44,77,OFF,OFF,ON,LOCKED,Away
45,76,OFF,ON,ON,LOCKED,Away
46,75,OFF,ON,ON,LOCKED,Away
47,76,OFF,ON,ON,LOCKED,Away
48,75,OFF,OFF,ON,LOCKED,Home
49,74,OFF,ON,ON,LOCKED,Away
50,73,OFF,ON,ON,LOCKED,Away
51,72,OFF,OFF,ON,LOCKED,Away
52,71,OFF,ON,ON,LOCKED,Away
53,72,OFF,ON,ON,LOCKED,Away
54,73,OFF,ON,ON,LOCKED,Away
55,73,OFF,ON,ON,LOCKED,Away
56,72,OFF,ON,ON,LOCKED,Away
57,73,OFF,OFF,ON,LOCKED,Away
58,74,OFF,ON,ON,LOCKED,Away
59,74,OFF,OFF,ON,LOCKED,Away
60,75,OFF,ON,ON,LOCKED,Home
61,76,OFF,OFF,ON,LOCKED,Away
62,76,OFF,ON,ON,LOCKED,Away
63,77,OFF,ON,ON,LOCKED,Away
64,77,OFF,ON,ON,LOCKED,Away
65,76,OFF,OFF,ON,LOCKED,Away
66,77,OFF,ON,ON,LOCKED,Away
67,77,OFF,OFF,ON,LOCKED,Away
68,78,OFF,ON,ON,LOCKED,Away
69,78,OFF,ON,ON,LOCKED,Away
70,79,OFF,ON,ON,LOCKED,Away
71,79,OFF,ON,ON,LOCKED,Away
72,78,OFF,ON,ON,LOCKED,Away
73,77,OFF,OFF,ON,LOCKED,Home
74,78,OFF,ON,ON,LOCKED,Home
75,78,OFF,ON,ON,LOCKED,Home
76,78,OFF,ON,ON,LOCKED,Home
77,77,OFF,ON,ON,LOCKED,Home
78,78,OFF,OFF,ON,LOCKED,Away
79,78,OFF,ON,ON,LOCKED,Home
80,77,OFF,ON,ON,LOCKED,Home
81,77,OFF,ON,ON,LOCKED,Home
82,76,OFF,OFF,OFF,LOCKED,Home
83,77,OFF,OFF,OFF,LOCKED,Home
84,78,OFF,OFF,OFF,LOCKED,Home
85,78,OFF,OFF,OFF,LOCKED,Home
86,77,OFF,OFF,OFF,LOCKED,Home
87,77,OFF,OFF,ON,LOCKED,Home
88,76,OFF,ON,ON,LOCKED,Home
89,77,OFF,ON,ON,LOCKED,Home
90,76,OFF,OFF,OFF,LOCKED,Home
91,77,OFF,OFF,ON,LOCKED,Away
92,77,OFF,ON,ON,LOCKED,Away
93,78,OFF,OFF,ON,LOCKED,Away
94,78,OFF,ON,ON,LOCKED,Away
95,78,OFF,ON,ON,LOCKED,Away
96,79,OFF,ON,ON,LOCKED,Away
97,80,OFF,ON,ON,LOCKED,Away
98,79,OFF,ON,ON,LOCKED,Away
